0:[[4227, 4409], [4468, 4338], [4227, 4338]]
29:[[3695, 4445.077], [3579.2354, 4458], [3531, 4428.923]]
29:[[3695, 4445.077], [3531, 4428.923], [3604.961, 4416]]
29:[[3695, 4445.077], [3604.961, 4416], [3640.3333, 4416]]
29:[[4917, 1280], [5033, 1280], [4917, 1360]]
29:[[4917, 1360], [5033, 1280], [5033, 1360]]
29:[[4917, 1536], [5033, 1536], [4917, 1600]]
29:[[4917, 1600], [5033, 1536], [5033, 1600]]
29:[[4603, 1920], [4659, 1920], [4603, 1958.4]]
29:[[4603, 1958.4], [4659, 1920], [4659, 1958.4]]
29:[[4603, 2176], [4659, 2176], [4603, 2240]]
29:[[4603, 2240], [4659, 2176], [4659, 2240]]
29:[[1203, 2240], [1239, 2240], [1203, 2256]]
29:[[1203, 2256], [1239, 2240], [1239, 2256]]
29:[[1203, 2256], [1239, 2256], [1203, 2280]]
29:[[1203, 2280], [1239, 2256], [1239, 2280]]
29:[[1203, 2280], [1239, 2280], [1203, 2296]]
29:[[1203, 2296], [1239, 2280], [1239, 2296]]
29:[[0, 0], [0, 0], [0, 0]]
29:[[0, 0], [0, 0], [0, 0]]
29:[[0, 0], [0, 0], [0, 0]]
29:[[0, 0], [0, 0], [0, 0]]
29:[[0, 0], [0, 0], [0, 0]]
29:[[0, 0], [0, 0], [0, 0]]
29:[[0, 0], [0, 0], [0, 0]]
29:[[0, 0], [0, 0], [0, 0]]
29:[[1203, 2296], [1239, 2296], [1203, 2320]]
29:[[1203, 2320], [1239, 2296], [1239, 2320]]
29:[[1203, 2320], [1239, 2320], [1203, 2336]]
29:[[1203, 2336], [1239, 2320], [1239, 2336]]
29:[[1203, 2464], [1239, 2464], [1203, 2560]]
29:[[1203, 2560], [1239, 2464], [1239, 2560]]
30:[[1710, 4495], [1684.1177, 4459], [1655, 4465.5454]]
30:[[55, 4498], [0, 4468.5454], [29.117685, 4462]]
30:[[1503, 2240], [1533, 2240], [1503, 2256]]
30:[[1503, 2256], [1533, 2240], [1533, 2256]]
30:[[1503, 2256], [1533, 2256], [1503, 2280]]
30:[[1503, 2280], [1533, 2256], [1533, 2280]]
30:[[1503, 2280], [1533, 2280], [1503, 2296]]
30:[[1503, 2296], [1533, 2280], [1533, 2296]]
30:[[0, 0], [0, 0], [0, 0]]
30:[[0, 0], [0, 0], [0, 0]]
30:[[0, 0], [0, 0], [0, 0]]
30:[[0, 0], [0, 0], [0, 0]]
30:[[0, 0], [0, 0], [0, 0]]
30:[[0, 0], [0, 0], [0, 0]]
30:[[0, 0], [0, 0], [0, 0]]
30:[[0, 0], [0, 0], [0, 0]]
30:[[1503, 2296], [1533, 2296], [1503, 2320]]
30:[[1503, 2320], [1533, 2296], [1533, 2320]]
30:[[1503, 2320], [1533, 2320], [1503, 2336]]
30:[[1503, 2336], [1533, 2320], [1533, 2336]]
30:[[1503, 2464], [1533, 2464], [1503, 2560]]
30:[[1503, 2560], [1533, 2464], [1533, 2560]]
31:[[781, 4496], [758.6, 4467], [701, 4476.667]]
31:[[2183, 4495], [2103, 4475.667], [2160.6, 4466]]
31:[[2069, 1920], [2152, 1920], [2069, 2000]]
31:[[2069, 2000], [2152, 1920], [2152, 2000]]
31:[[2069, 2176], [2152, 2176], [2069, 2240]]
31:[[2069, 2240], [2152, 2176], [2152, 2240]]
32:[[4979.591, 4436.143], [5028, 4475], [4957, 4407]]
32:[[5050.591, 4436.143], [5028, 4407], [5099, 4475]]
32:[[4307, 1600], [4405, 1600], [4307, 1664]]
32:[[4307, 1664], [4405, 1600], [4405, 1664]]
32:[[4307, 1856], [4405, 1856], [4307, 1920]]
32:[[4307, 1920], [4405, 1856], [4405, 1920]]
33:[[244, 4411], [420.78577, 4378.727], [372.57147, 4340]]
33:[[244, 4411], [424, 4407.7725], [420.78577, 4378.727]]
33:[[424, 4411], [552.5715, 4340], [600.78577, 4378.727]]
33:[[424, 4411], [600.78577, 4378.727], [604, 4407.7725]]
33:[[2441, 1280], [2588, 1280], [2441, 1360]]
33:[[2441, 1360], [2588, 1280], [2588, 1360]]
33:[[2441, 1536], [2588, 1536], [2441, 1600]]
33:[[2441, 1600], [2588, 1536], [2588, 1600]]
33:[[1562, 2240], [1591, 2240], [1562, 2272]]
33:[[1562, 2272], [1591, 2240], [1591, 2272]]
33:[[1562, 2496], [1591, 2496], [1562, 2560]]
33:[[1562, 2560], [1591, 2496], [1591, 2560]]
34:[[4624.5996, 4496], [4365.4, 4470], [4343, 4492.75]]
34:[[4624.5996, 4496], [4631, 4473.25], [4365.4, 4470]]
34:[[4019.6, 4494], [3738, 4490.75], [3760.4, 4468]]
34:[[4019.6, 4494], [3760.4, 4468], [4026, 4471.25]]
34:[[1375, 2240], [1407, 2240], [1375, 2256]]
34:[[1375, 2256], [1407, 2240], [1407, 2256]]
34:[[1375, 2256], [1407, 2256], [1375, 2268]]
34:[[1375, 2268], [1407, 2256], [1407, 2268]]
34:[[1375, 2268], [1407, 2268], [1375, 2284]]
34:[[1375, 2284], [1407, 2268], [1407, 2284]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[1375, 2284], [1407, 2284], [1375, 2296]]
34:[[1375, 2296], [1407, 2284], [1407, 2296]]
34:[[1375, 2296], [1407, 2296], [1375, 2312]]
34:[[1375, 2312], [1407, 2296], [1407, 2312]]
34:[[1375, 2464], [1407, 2464], [1375, 2560]]
34:[[1375, 2560], [1407, 2464], [1407, 2560]]
34:[[2095, 2240], [2119, 2240], [2095, 2256]]
34:[[2095, 2256], [2119, 2240], [2119, 2256]]
34:[[2095, 2256], [2119, 2256], [2095, 2268]]
34:[[2095, 2268], [2119, 2256], [2119, 2268]]
34:[[2095, 2268], [2119, 2268], [2095, 2284]]
34:[[2095, 2284], [2119, 2268], [2119, 2284]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[0, 0], [0, 0], [0, 0]]
34:[[2095, 2284], [2119, 2284], [2095, 2296]]
34:[[2095, 2296], [2119, 2284], [2119, 2296]]
34:[[2095, 2296], [2119, 2296], [2095, 2312]]
34:[[2095, 2312], [2119, 2296], [2119, 2312]]
34:[[2095, 2432], [2119, 2432], [2095, 2560]]
34:[[2095, 2560], [2119, 2432], [2119, 2560]]
35:[[3564, 4091.625], [3680, 4156], [3670.3333, 4053]]
35:[[3564, 4091.625], [3647.7778, 4156], [3680, 4156]]
35:[[3172, 4091.625], [3278.3335, 4053], [3288, 4156]]
35:[[3172, 4091.625], [3288, 4156], [3255.7778, 4156]]
35:[[568, 1600], [681, 1600], [568, 1680]]
35:[[568, 1680], [681, 1600], [681, 1680]]
35:[[568, 1856], [681, 1856], [568, 1920]]
35:[[568, 1920], [681, 1856], [681, 1920]]
35:[[1343, 2240], [1375, 2240], [1343, 2256]]
35:[[1343, 2256], [1375, 2240], [1375, 2256]]
35:[[1343, 2256], [1375, 2256], [1343, 2268]]
35:[[1343, 2268], [1375, 2256], [1375, 2268]]
35:[[1343, 2268], [1375, 2268], [1343, 2284]]
35:[[1343, 2284], [1375, 2268], [1375, 2284]]
35:[[0, 0], [0, 0], [0, 0]]
35:[[0, 0], [0, 0], [0, 0]]
35:[[0, 0], [0, 0], [0, 0]]
35:[[0, 0], [0, 0], [0, 0]]
35:[[0, 0], [0, 0], [0, 0]]
35:[[0, 0], [0, 0], [0, 0]]
35:[[0, 0], [0, 0], [0, 0]]
35:[[0, 0], [0, 0], [0, 0]]
35:[[1343, 2284], [1375, 2284], [1343, 2296]]
35:[[1343, 2296], [1375, 2284], [1375, 2296]]
35:[[1343, 2296], [1375, 2296], [1343, 2312]]
35:[[1343, 2312], [1375, 2296], [1375, 2312]]
35:[[1343, 2464], [1375, 2464], [1343, 2560]]
35:[[1343, 2560], [1375, 2464], [1375, 2560]]
36:[[3096.4285, 4252], [3160.7144, 4336], [3180, 4316.615]]
36:[[3096.4285, 4252], [3090, 4258.4614], [3160.7144, 4336]]
36:[[3546.4285, 4252], [3630, 4316.615], [3610.7144, 4336]]
36:[[3546.4285, 4252], [3610.7144, 4336], [3540, 4258.4614]]
36:[[1678, 2240], [1706, 2240], [1678, 2256]]
36:[[1678, 2256], [1706, 2240], [1706, 2256]]
36:[[1678, 2256], [1706, 2256], [1678, 2268]]
36:[[1678, 2268], [1706, 2256], [1706, 2268]]
36:[[1678, 2268], [1706, 2268], [1678, 2284]]
36:[[1678, 2284], [1706, 2268], [1706, 2284]]
36:[[0, 0], [0, 0], [0, 0]]
36:[[0, 0], [0, 0], [0, 0]]
36:[[0, 0], [0, 0], [0, 0]]
36:[[0, 0], [0, 0], [0, 0]]
36:[[0, 0], [0, 0], [0, 0]]
36:[[0, 0], [0, 0], [0, 0]]
36:[[0, 0], [0, 0], [0, 0]]
36:[[0, 0], [0, 0], [0, 0]]
36:[[1678, 2284], [1706, 2284], [1678, 2296]]
36:[[1678, 2296], [1706, 2284], [1706, 2296]]
36:[[1678, 2296], [1706, 2296], [1678, 2312]]
36:[[1678, 2312], [1706, 2296], [1706, 2312]]
36:[[1678, 2464], [1706, 2464], [1678, 2560]]
36:[[1678, 2560], [1706, 2464], [1706, 2560]]
37:[[2960, 4156], [3034, 4252], [3030.7825, 4232.8]]
37:[[3034, 4156], [3104.7827, 4232.8], [3108, 4252]]
37:[[2140, 2240], [2160, 2240], [2140, 2256]]
37:[[2140, 2256], [2160, 2240], [2160, 2256]]
37:[[2140, 2256], [2160, 2256], [2140, 2268]]
37:[[2140, 2268], [2160, 2256], [2160, 2268]]
37:[[2140, 2268], [2160, 2268], [2140, 2284]]
37:[[2140, 2284], [2160, 2268], [2160, 2284]]
37:[[0, 0], [0, 0], [0, 0]]
37:[[0, 0], [0, 0], [0, 0]]
37:[[0, 0], [0, 0], [0, 0]]
37:[[0, 0], [0, 0], [0, 0]]
37:[[0, 0], [0, 0], [0, 0]]
37:[[0, 0], [0, 0], [0, 0]]
37:[[0, 0], [0, 0], [0, 0]]
37:[[0, 0], [0, 0], [0, 0]]
37:[[2140, 2284], [2160, 2284], [2140, 2296]]
37:[[2140, 2296], [2160, 2284], [2160, 2296]]
37:[[2140, 2296], [2160, 2296], [2140, 2312]]
37:[[2140, 2312], [2160, 2296], [2160, 2312]]
37:[[2140, 2464], [2160, 2464], [2140, 2560]]
37:[[2140, 2560], [2160, 2464], [2160, 2560]]
38:[[64, 4343], [12.800049, 4259.6206], [0, 4250]]
38:[[4207, 4342], [4143, 4249], [4155.8, 4258.6206]]
38:[[2403, 2240], [2420, 2240], [2403, 2256]]
38:[[2403, 2256], [2420, 2240], [2420, 2256]]
38:[[2403, 2256], [2420, 2256], [2403, 2268]]
38:[[2403, 2268], [2420, 2256], [2420, 2268]]
38:[[2403, 2268], [2420, 2268], [2403, 2284]]
38:[[2403, 2284], [2420, 2268], [2420, 2284]]
38:[[0, 0], [0, 0], [0, 0]]
38:[[0, 0], [0, 0], [0, 0]]
38:[[0, 0], [0, 0], [0, 0]]
38:[[0, 0], [0, 0], [0, 0]]
38:[[0, 0], [0, 0], [0, 0]]
38:[[0, 0], [0, 0], [0, 0]]
38:[[0, 0], [0, 0], [0, 0]]
38:[[0, 0], [0, 0], [0, 0]]
38:[[2403, 2284], [2420, 2284], [2403, 2296]]
38:[[2403, 2296], [2420, 2284], [2420, 2296]]
38:[[2403, 2296], [2420, 2296], [2403, 2312]]
38:[[2403, 2312], [2420, 2296], [2420, 2312]]
38:[[2403, 2464], [2420, 2464], [2403, 2560]]
38:[[2403, 2560], [2420, 2464], [2420, 2560]]
39:[[4615.758, 4409], [4468, 4338], [4468, 4409]]
39:[[4615.758, 4409], [4680, 4360.591], [4468, 4338]]
39:[[971.75757, 4409], [824, 4409], [824, 4338]]
39:[[971.75757, 4409], [824, 4338], [1036, 4360.591]]
39:[[2639, 3386], [2710, 3386], [2639, 3418]]
39:[[2639, 3418], [2710, 3386], [2710, 3418]]
40:[[2173.4424, 3118.0327], [2167.0386, 3012], [2103, 3050.5571]]
40:[[2173.4424, 3118.0327], [2336.7402, 3050.5571], [2167.0386, 3012]]
40:[[2173.4424, 3118.0327], [2436, 3150.164], [2336.7402, 3050.5571]]
40:[[2173.4424, 3118.0327], [2436, 3188.7212], [2436, 3150.164]]
40:[[2173.4424, 3118.0327], [2314.327, 3208], [2436, 3188.7212]]
40:[[1840.4424, 3118.0327], [1770, 3050.5571], [1834.0386, 3012]]
40:[[1840.4424, 3118.0327], [1834.0386, 3012], [2003.7402, 3050.5571]]
40:[[1840.4424, 3118.0327], [2003.7402, 3050.5571], [2103, 3150.164]]
40:[[1840.4424, 3118.0327], [2103, 3150.164], [2103, 3188.7212]]
40:[[1840.4424, 3118.0327], [2103, 3188.7212], [1981.3269, 3208]]
40:[[3938, 3021], [3977, 3021], [3938, 3053]]
40:[[3938, 3053], [3977, 3021], [3977, 3053]]
40:[[3938, 3053], [3977, 3053], [3938, 3085]]
40:[[3938, 3085], [3977, 3053], [3977, 3085]]
40:[[3938, 3085], [3977, 3085], [3938, 3213]]
40:[[3938, 3213], [3977, 3085], [3977, 3213]]
40:[[3522, 3016], [3646, 3016], [3522, 3032]]
40:[[3522, 3032], [3646, 3016], [3646, 3032]]
41:[[2209.1592, 4155], [2097, 4052], [2100.2046, 4080.9688]]
41:[[2209.1592, 4155], [2238, 4142.125], [2097, 4052]]
41:[[4640.159, 4155], [4531.2046, 4080.9688], [4528, 4052]]
41:[[4640.159, 4155], [4528, 4052], [4669, 4142.125]]
41:[[1934, 2788], [2101, 2788], [1934, 2820]]
41:[[1934, 2820], [2101, 2788], [2101, 2820]]
42:[[2775, 4415], [2653, 4363.3633], [2742.8948, 4415]]
42:[[2775, 4415], [2775, 4344], [2653, 4363.3633]]
42:[[3234, 4407], [3201.8948, 4407], [3112, 4355.3633]]
42:[[3234, 4407], [3112, 4355.3633], [3234, 4336]]
42:[[4195, 3208.032], [4266, 3208.032], [4195, 3384]]
42:[[4195, 3384], [4266, 3208.032], [4266, 3384]]
43:[[2583.2, 4456.6], [2516, 4443.8], [2544.8, 4463]]
43:[[2583.2, 4456.6], [2522.4, 4421.4], [2516, 4443.8]]
43:[[2583.2, 4456.6], [2580, 4415], [2522.4, 4421.4]]
43:[[2583.2, 4456.6], [2596, 4434.2], [2580, 4415]]
43:[[2663.2002, 4456.6], [2624.8, 4463], [2596, 4443.8]]
43:[[2663.2002, 4456.6], [2596, 4443.8], [2602.4001, 4421.4]]
43:[[2663.2002, 4456.6], [2602.4001, 4421.4], [2660, 4415]]
43:[[2663.2002, 4456.6], [2660, 4415], [2676, 4434.2]]
44:[[2734, 4440.6], [2692.111, 4463], [2711.4443, 4463]]
44:[[2734, 4440.6], [2679.2222, 4453.4], [2692.111, 4463]]
44:[[2734, 4440.6], [2676, 4434.2], [2679.2222, 4453.4]]
44:[[2734, 4440.6], [2695.3333, 4415], [2676, 4434.2]]
44:[[2734, 4440.6], [2727.5557, 4415], [2695.3333, 4415]]
44:[[58, 4439.5996], [35.44441, 4462], [16.111118, 4462]]
44:[[58, 4439.5996], [16.111118, 4462], [3.2221744, 4452.4]]
44:[[58, 4439.5996], [3.2221744, 4452.4], [0, 4433.2]]
44:[[58, 4439.5996], [0, 4433.2], [19.333292, 4414]]
44:[[58, 4439.5996], [19.333292, 4414], [51.555527, 4414]]
45:[[1237, 4460.5], [1173, 4467], [1208.2, 4467]]
45:[[1237, 4460.5], [1179.4, 4434.5], [1173, 4467]]
45:[[1237, 4460.5], [1214.6, 4415], [1179.4, 4434.5]]
45:[[1237, 4460.5], [1237, 4428], [1214.6, 4415]]
45:[[2516, 4460.5], [2487.2, 4467], [2452, 4467]]
45:[[2516, 4460.5], [2452, 4467], [2458.4, 4434.5]]
45:[[2516, 4460.5], [2458.4, 4434.5], [2493.6, 4415]]
45:[[2516, 4460.5], [2493.6, 4415], [2516, 4428]]
46:[[534.4, 3829], [470.40002, 3739.4], [384, 3809.8]]
46:[[534.4, 3829], [572.80005, 3713.8], [470.40002, 3739.4]]
46:[[534.4, 3829], [688, 3701], [572.80005, 3713.8]]
46:[[534.4, 3829], [768, 3720.2], [688, 3701]]
46:[[534.4, 3829], [640, 3790.6], [768, 3720.2]]
46:[[150.40002, 3829], [0, 3809.8], [86.400024, 3739.4]]
46:[[150.40002, 3829], [86.400024, 3739.4], [188.80005, 3713.8]]
46:[[150.40002, 3829], [188.80005, 3713.8], [304, 3701]]
46:[[150.40002, 3829], [304, 3701], [384, 3720.2]]
46:[[150.40002, 3829], [384, 3720.2], [256, 3790.6]]
47:[[700, 4418.4707], [812, 4441.1177], [764, 4412]]
47:[[700, 4418.4707], [709.6, 4467], [812, 4441.1177]]
47:[[588, 4418.4707], [652, 4412], [700, 4441.1177]]
47:[[588, 4418.4707], [700, 4441.1177], [597.6, 4467]]
47:[[4327, 2802], [4433, 2802], [4327, 2843.6763]]
47:[[4327, 2843.6763], [4433, 2802], [4433, 2843.6763]]
48:[[2775.7727, 2860.889], [2884.7273, 2896.1587], [2936, 2816]]
48:[[2775.7727, 2860.889], [2798.2046, 3018], [2884.7273, 2896.1587]]
48:[[2775.7727, 2860.889], [2654, 2982.73], [2798.2046, 3018]]
48:[[3739, 960], [3906, 960], [3739, 1184]]
48:[[3739, 1184], [3906, 960], [3906, 1184]]
48:[[96, 1629], [191, 1629], [96, 1725]]
48:[[96, 1725], [191, 1629], [191, 1725]]
48:[[2720, 960], [2892, 960], [2720, 1276.8]]
48:[[2720, 1276.8], [2892, 960], [2892, 1276.8]]
49:[[4910, 3724.2002], [4766, 3689], [4910, 3817]]
49:[[377, 1920], [470, 1920], [377, 2016]]
49:[[377, 2016], [470, 1920], [470, 2016]]
50:[[1091.2898, 3506.4116], [1180.971, 3432.451], [992, 3381]]
50:[[1091.2898, 3506.4116], [1213, 3545], [1180.971, 3432.451]]
50:[[1091.2898, 3506.4116], [1123.3188, 3535.353], [1213, 3545]]
50:[[3807, 640], [4003, 640], [3807, 832]]
50:[[3807, 832], [4003, 640], [4003, 832]]
50:[[178, 2240], [222, 2240], [178, 2400]]
50:[[178, 2400], [222, 2240], [222, 2400]]
51:[[3026, 3495.875], [3161, 3515.125], [3061.357, 3390]]
51:[[3026, 3495.875], [3135.2856, 3544], [3161, 3515.125]]
51:[[1355, 1600], [1467, 1600], [1355, 1696]]
51:[[1355, 1696], [1467, 1600], [1467, 1696]]
51:[[1090, 2240], [1129, 2240], [1090, 2400]]
51:[[1090, 2400], [1129, 2240], [1129, 2400]]
52:[[1613, 3809.55], [1690.3333, 3748.275], [1700, 3687]]
52:[[1613, 3809.55], [1622.6666, 3816], [1690.3333, 3748.275]]
52:[[4118, 1920], [4180, 1920], [4118, 2016]]
52:[[4118, 2016], [4180, 1920], [4180, 2016]]
52:[[5105, 0], [5117, 0], [5105, 96]]
52:[[5105, 96], [5117, 0], [5117, 96]]
53:[[125.00006, 4330.3574], [73.63155, 4250], [64, 4253.2144]]
53:[[125.00006, 4330.3574], [186, 4340], [73.63155, 4250]]
53:[[4209, 1760], [4307, 1760], [4209, 1920]]
53:[[4209, 1920], [4307, 1760], [4307, 1920]]
53:[[5105, 640], [5116, 640], [5105, 736]]
53:[[5105, 736], [5116, 640], [5116, 736]]
54:[[3095, 2582.4578], [3130.2, 2566.4336], [3114.2, 2544]]
54:[[3095, 2582.4578], [3207, 2810], [3130.2, 2566.4336]]
54:[[1734, 2240], [1762, 2240], [1734, 2336]]
54:[[1734, 2336], [1762, 2240], [1762, 2336]]
55:[[2233, 4292.6], [2204, 4251], [2213.6665, 4331]]
55:[[2314, 2080], [2395, 2080], [2314, 2240]]
55:[[2314, 2240], [2395, 2080], [2395, 2240]]
56:[[3029, 4467.6924], [2968, 4458], [2996.8945, 4500]]
56:[[5059, 1920], [5105, 1920], [5059, 2016]]
56:[[5059, 2016], [5105, 1920], [5105, 2016]]
57:[[4732, 2990.3032], [4680.727, 2980.6667], [4703.159, 3016]]
57:[[4732, 2990.3032], [4591, 2804], [4680.727, 2980.6667]]
57:[[611, 2240], [653, 2240], [611, 2296]]
57:[[611, 2296], [653, 2240], [653, 2296]]
57:[[0, 0], [0, 0], [0, 0]]
57:[[0, 0], [0, 0], [0, 0]]
57:[[0, 0], [0, 0], [0, 0]]
57:[[0, 0], [0, 0], [0, 0]]
57:[[0, 0], [0, 0], [0, 0]]
57:[[0, 0], [0, 0], [0, 0]]
57:[[0, 0], [0, 0], [0, 0]]
57:[[0, 0], [0, 0], [0, 0]]
57:[[4788, 320], [5021, 320], [4788, 512]]
57:[[4788, 512], [5021, 320], [5021, 512]]
58:[[4534, 3208], [4566.143, 3320], [4624, 3384]]
58:[[1558, 1920], [1645, 1920], [1558, 1976]]
58:[[1558, 1976], [1645, 1920], [1645, 1976]]
58:[[0, 0], [0, 0], [0, 0]]
58:[[0, 0], [0, 0], [0, 0]]
58:[[0, 0], [0, 0], [0, 0]]
58:[[0, 0], [0, 0], [0, 0]]
58:[[0, 0], [0, 0], [0, 0]]
58:[[0, 0], [0, 0], [0, 0]]
58:[[0, 0], [0, 0], [0, 0]]
58:[[0, 0], [0, 0], [0, 0]]
59:[[1940.946, 4414], [1944.1621, 4466], [2031, 4423.75]]
59:[[1940.946, 4414], [1912, 4440], [1944.1621, 4466]]
59:[[4986, 1600], [5082, 1600], [4986, 1656]]
59:[[4986, 1656], [5082, 1600], [5082, 1656]]
59:[[0, 0], [0, 0], [0, 0]]
59:[[0, 0], [0, 0], [0, 0]]
59:[[0, 0], [0, 0], [0, 0]]
59:[[0, 0], [0, 0], [0, 0]]
59:[[0, 0], [0, 0], [0, 0]]
59:[[0, 0], [0, 0], [0, 0]]
59:[[0, 0], [0, 0], [0, 0]]
59:[[0, 0], [0, 0], [0, 0]]
59:[[817, 2240], [856, 2240], [817, 2400]]
59:[[817, 2400], [856, 2240], [856, 2400]]
60:[[4055.0908, 2791], [4003.697, 2544], [3978, 2547.2078]]
60:[[4055.0908, 2791], [4084, 2688.3506], [4003.697, 2544]]
60:[[1843, 2240], [1869, 2240], [1843, 2336]]
60:[[1843, 2336], [1869, 2240], [1869, 2336]]
61:[[4670.0195, 2804], [4650.7256, 2528], [4625, 2563.3022]]
61:[[4670.0195, 2804], [4760.0586, 2576.1396], [4650.7256, 2528]]
61:[[4670.0195, 2804], [4789, 2601.814], [4760.0586, 2576.1396]]
61:[[134, 1949], [178, 1949], [134, 2045]]
61:[[134, 2045], [178, 1949], [178, 2045]]
61:[[1051, 2240], [1090, 2240], [1051, 2400]]
61:[[1051, 2400], [1090, 2240], [1090, 2400]]
62:[[2113.9458, 4305.9233], [2097.8647, 4251], [2085, 4270.385]]
62:[[2113.9458, 4305.9233], [2204, 4254.2305], [2097.8647, 4251]]
62:[[2113.9458, 4305.9233], [2194.3513, 4335], [2204, 4254.2305]]
62:[[0, 1949], [46, 1949], [0, 2045]]
62:[[0, 2045], [46, 1949], [46, 2045]]
62:[[2449, 1600], [2555, 1600], [2449, 1632]]
62:[[2449, 1632], [2555, 1600], [2555, 1632]]
62:[[0, 0], [0, 0], [0, 0]]
62:[[0, 0], [0, 0], [0, 0]]
62:[[0, 0], [0, 0], [0, 0]]
62:[[0, 0], [0, 0], [0, 0]]
62:[[0, 0], [0, 0], [0, 0]]
62:[[0, 0], [0, 0], [0, 0]]
62:[[0, 0], [0, 0], [0, 0]]
62:[[0, 0], [0, 0], [0, 0]]
63:[[397.76627, 25.614677], [381.7273, 349], [494, 166.4954]]
63:[[397.76627, 25.614677], [272.66245, 230.53209], [381.7273, 349]]
63:[[397.76627, 25.614677], [247, 201.71559], [272.66245, 230.53209]]
63:[[397.76627, 25.614677], [365.68832, 0], [247, 201.71559]]
63:[[2892, 960], [3063, 960], [2892, 984]]
63:[[2892, 984], [3063, 960], [3063, 984]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[1138, 640], [1353, 640], [1138, 672]]
63:[[1138, 672], [1353, 640], [1353, 672]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[0, 0], [0, 0], [0, 0]]
63:[[895, 2240], [934, 2240], [895, 2336]]
63:[[895, 2336], [934, 2240], [934, 2336]]
64:[[3218.6665, 4329], [3238, 4252], [3209, 4277.6665]]
64:[[4659, 1920], [4712, 1920], [4659, 2000]]
64:[[4659, 2000], [4712, 1920], [4712, 2000]]
64:[[0, 0], [0, 0], [0, 0]]
64:[[0, 0], [0, 0], [0, 0]]
64:[[0, 0], [0, 0], [0, 0]]
64:[[0, 0], [0, 0], [0, 0]]
64:[[0, 0], [0, 0], [0, 0]]
64:[[0, 0], [0, 0], [0, 0]]
64:[[0, 0], [0, 0], [0, 0]]
64:[[0, 0], [0, 0], [0, 0]]
65:[[2827.2856, 3286.889], [2843.714, 3383], [2847, 3210]]
65:[[2827.2856, 3286.889], [2824, 3338.1482], [2843.714, 3383]]
65:[[2547, 960], [2720, 960], [2547, 1152]]
65:[[2547, 1152], [2720, 960], [2720, 1152]]
65:[[4712, 1920], [4764, 1920], [4712, 2000]]
65:[[4712, 2000], [4764, 1920], [4764, 2000]]
65:[[0, 0], [0, 0], [0, 0]]
65:[[0, 0], [0, 0], [0, 0]]
65:[[0, 0], [0, 0], [0, 0]]
65:[[0, 0], [0, 0], [0, 0]]
65:[[0, 0], [0, 0], [0, 0]]
65:[[0, 0], [0, 0], [0, 0]]
65:[[0, 0], [0, 0], [0, 0]]
65:[[0, 0], [0, 0], [0, 0]]
66:[[2625, 4041], [2683, 3979.9695], [2663.6665, 3935]]
66:[[342, 1600], [455, 1600], [342, 1680]]
66:[[342, 1680], [455, 1600], [455, 1680]]
66:[[0, 0], [0, 0], [0, 0]]
66:[[0, 0], [0, 0], [0, 0]]
66:[[0, 0], [0, 0], [0, 0]]
66:[[0, 0], [0, 0], [0, 0]]
66:[[0, 0], [0, 0], [0, 0]]
66:[[0, 0], [0, 0], [0, 0]]
66:[[0, 0], [0, 0], [0, 0]]
66:[[0, 0], [0, 0], [0, 0]]
67:[[222.40002, 2873.9207], [168, 3015], [280, 2813]]
67:[[222.40002, 2873.9207], [177.59998, 2934.8413], [168, 3015]]
67:[[0, 349], [231, 349], [0, 573]]
67:[[0, 573], [231, 349], [231, 573]]
67:[[2952, 1920], [3028, 1920], [2952, 1952]]
67:[[2952, 1952], [3028, 1920], [3028, 1952]]
67:[[0, 0], [0, 0], [0, 0]]
67:[[0, 0], [0, 0], [0, 0]]
67:[[0, 0], [0, 0], [0, 0]]
67:[[0, 0], [0, 0], [0, 0]]
67:[[0, 0], [0, 0], [0, 0]]
67:[[0, 0], [0, 0], [0, 0]]
67:[[0, 0], [0, 0], [0, 0]]
67:[[0, 0], [0, 0], [0, 0]]
